wage,school,age
16.2857128294,10.5,36
9.6341456395,11.5,36
12.500000728,14.5,36
7.9166663626,10.5,36
20.2857165628,18,35
7.3076919381,16,35
12.162161789,10.5,35
24.4020023769,18,35
11.500000165,10.5,35
8.6046519413,10.5,35
15.5555564972,16,35
10.8999991634,16,35
15.0000007486,12,35
9.4999995559,11.5,35
15.4761887829,18,35
8.9216665436,12,35
10.2499995366,10.5,35
11.1842115143,14,35
9.2857153886,10.5,35
18.1818182273,12,34
10.3350005002,11.5,34
22.2222228042,11,34
12.200000529,11.5,34
6.7999997082,10.5,34
20.9302331802,18,34
16.8750014151,9,34
3.1578946716,12,34
7.1111109103,10.5,34
12.7500000164,11.5,34
15.2888890689,18,34
13.2986998275,11.5,34
9.3461533064,11.5,34
10.0000003197,11.5,34
15.6097574214,9,34
9.000000357,12,33
8.0000000457,10.5,33
9.4000008683,9,33
10.2380954204,14.5,33
10.8441549724,11.5,33
10.2499995366,10.5,33
19.3088891388,14.5,33
20.8888906975,15,33
14.0259735436,11,33
10.8510629034,11.5,33
8.444443763,11.5,32
8.6000003769,10.5,32
10.0000003197,11.5,32
8.2608693247,9,32
15.2511100466,12,32
11.1111113809,10.5,31
10.0000003197,18,31
12.500000728,10.5,31
8.8888888713,10.5,30
8.6842098288,11.5,30
9.5999999749,11.5,30
10.2439016505,11.5,30
6.3888889192,10.5,28
10.0000003197,13,28
13.6842104623,11.5,28
21.625002207,14.5,28
43.0000031775,11.5,27
7.8333341222,14.5,27
14.4444431287,11.5,27
8.8888888713,12,27
6.1599997057,10.5,27
9.5999999749,10.5,27
10.4250004411,9,26
7.4000007572,12,25
8.7500008101,11.5,25
8.2352950642,11.5,25
10.0133344166,13.5,25
7.1666670405,11.5,25
10.0000003197,11.5,25
10.256409158,10.5,25
4.6753244218,11.5,25
8.6363629617,11.5,24
8.1249995203,11.5,24
7.5714294156,11.5,24
7.5949366451,14.5,23
8.0000000457,11.5,23
8.0952375373,8.5,23
5.3866669701,7,23
4.4642858039,11.5,22
5.6244444998,13,21
3.7037037202,13,21
11.0000006969,10.5,20
7.50000036,11.5,20
9.8701308541,7,45
22.2222228042,18,44
14.0000009552,7,43
12.7500000164,11.5,42
11.2500007417,12,42
10.4761905922,9,38
13.8666682299,11.5,35
16.3636365305,18,35
12.500000728,18,35
9.1249995218,10.5,34
20.1675006034,10,33
14.1666665759,13,32
6.8817202112,9,26
7.2727270861,11.5,25
9.3333338028,13.5,25
8.6829262279,11.5,24
4.6666668925,10.5,22
8.6956526053,10.5,21
15.7894719506,11,47
21.7777798856,11.5,47
17.33333161,11.5,47
18.3510633137,10.5,47
10.888889922,10.5,47
16.6666673702,10.5,47
14.5945940252,10.5,47
6.5714282549,9,47
13.636363889,15,47
20.7792195718,11,47
10.0000003197,11.5,47
16.6666673702,14,47
14.4186031538,17,47
14.571427707,18,47
11.2571430488,9,47
22.8872327481,11.5,47
14.2307693368,14,47
16.1818191932,18,46
11.3333329631,10.5,46
14.4864878555,10.5,46
14.0000009552,10.5,46
18.4935065285,15,46
10.2499995366,10.5,46
11.7848100526,10.5,46
12.500000728,10.5,46
13.0952385842,15,46
15.1509084442,18,46
15.2500010618,11.5,46
12.7999997614,13.5,46
14.0000009552,11.5,46
11.0224993951,10.5,46
13.1250014505,15,46
11.4116654356,13.5,46
11.4285711013,11.5,46
11.7840008817,10.5,46
10.3125010894,10.5,46
20.0000006776,18,46
15.9523797828,11.5,46
15.7142861701,11.5,46
14.4999986971,11,46
15.2500010618,11.5,46
12.380953653,14,46
13.333333546,10.5,46
13.3999993661,10.5,46
14.0000009552,12,46
10.1333324312,18,46
12.0000002837,10.5,45
22.0779203014,18,45
11.8421041527,11.5,45
9.000000357,10.5,45
16.5406255847,14,45
16.0599992711,14.5,45
19.5333337804,11.5,45
21.5517234874,10.5,45
9.6340422769,10.5,45
9.4736853321,14.5,45
10.1400002982,15,45
20.0000006776,18,45
14.0000009552,11.5,45
10.3896097661,10.5,45
20.8219186316,18,45
14.8000015427,10.5,45
12.45000031,14.5,45
17.4418611289,11,45
16.1904751054,11.5,45
8.8571438329,14.5,45
15.3846140129,14,45
20.0000006776,18,45
11.7500013939,11.5,45
15.8000010114,11.5,45
10.3333324688,13,45
13.7662348954,10.5,45
16.4547606051,14.5,45
15.2500010618,18,45
9.8901087258,10.5,44
32.4999982049,9,44
19.0909101367,18,44
12.9166659252,10.5,44
12.500000728,15,44
14.1000015552,10.5,44
8.0000000457,10.5,44
15.6666682742,10.5,44
12.8149987765,10.5,44
8.7500008101,10.5,44
16.7499996475,11.5,44
16.5853668894,11,44
20.0000006776,18,44
13.2467520453,11.5,44
13.1428565348,11.5,44
19.636363673,14,44
10.2222220218,11,44
17.4358989111,11.5,44
11.20000047,10.5,44
10.1298709307,11.5,44
22.0000014357,17,44
12.2222229025,13.5,44
11.7500013939,10.5,44
8.8888888713,12,44
11.500000165,11,44
16.3636365305,11.5,44
7.368421243,10.5,44
12.444444871,12,44
5.7333334818,10.5,44
11.6666675599,11.5,44
8.4999998585,10.5,44
11.8349998431,10.5,43
10.6250001022,13.5,43
12.2624994751,11.5,43
10.2499995366,12,43
15.5555564972,11.5,43
19.6000020478,11.5,43
13.7662348954,10.5,43
8.2500006549,10.5,43
9.0909090963,14,43
13.333333546,10.5,43
18.4999980034,15,43
17.6315799643,13.5,43
10.7500007534,9,43
14.0000009552,11,43
13.2961033128,9,43
11.6666675599,16,43
16.1904751054,13.5,43
16.0000001219,11.5,43
14.7500013114,13.5,43
8.3116875946,10.5,43
19.4285699646,11,43
8.444443763,10.5,43
18.999999148,17,43
7.2727270861,11.5,43
22.9761918275,11.5,43
12.9999989158,9,42
10.0000003197,18,42
21.1627894491,18,42
7.3333336664,10.5,42
12.500000728,12,42
15.071427627,10,42
12.0000002837,10.5,42
17.0731695922,12,42
9.8701308541,10.5,42
12.6315802404,10.5,42
10.0000003197,14,42
15.06849218,16,42
16.1111095395,12,42
11.6279072107,11,42
14.1463412842,10.5,42
8.0000000457,10.5,42
11.3043470826,11.5,42
15.7894719506,11,42
7.0833332744,10.5,42
12.680519998,16,42
17.5000016535,13.5,41
13.636363889,16,41
11.1688309243,8.5,41
19.0476186972,14.5,41
10.5357148405,11.5,41
12.2077925331,10,41
8.0000000457,8.5,41
16.5454532462,18,41
18.5999986224,10.5,41
11.6883113838,10.5,41
18.3012969964,15,41
11.500000165,9,41
17.0454553089,12,41
17.7777777765,18,41
10.8860760985,10.5,41
11.1688309243,10.5,41
14.5416677389,11.5,41
